APN,geo_url_1,geo_year_1,geo_url_2,geo_year_2,geo_url_3,geo_year_3,coastal_url_1,coastal_year_1,coastal_url_2,coastal_year_2,coastal_url_3,coastal_year_3
4449013004,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AQ9fCJauUpfuQ8uLxBm4GK%C3%89WGudU6%C3%89wclr5YWAYzY28stw2YAU58%C3%89GkPIcUPAQfL4T4%C3%81MY1llxZicAPrJb8khbY%3D/,1996,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AbNqCq0HHBBtUehdNf476kHMkrEmKbLz3sdVuiL%C3%89tSFisIlj9iNkTtugSBlv4OF3IGyyrrZE2Unxiw%C3%8912VUVw6I%3D/,1996,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AddMPdgiM9GNXPcNdLZiWwfhNoc9N%C3%81cEo8Bds%C3%81BC9tsjABj6uvMLGC6FUZk%C3%81TvPEbjstYehZB9VWk9Gq6aaCLBc%3D/,1996,,,,,,
4449013005,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARUwkuVulnjnKPd3c9lYjReGXQfvETYHW0ocnG9QzQKGU5kyCRbg1jSmrUhBR4uLo0PfqaaLLvK7%C3%81ypFYmZa3y8%3D/,1999,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AVxpUfaKo2%C3%89hdp%C3%81gpO64IdYjPMYokWGMHFA896%C3%89sPEu4SvlhGrhpIyC6q2WMsMMOAXnR0nF8Kx%C3%817qBpeLXr3GvU%3D/,1998,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AVG7X0SIwqZvMLlrwY1%C3%81G9prBV97HPQ38Ai3RnG9g8aHjBmfRZnDTK%C3%81RYuGW%C3%81nC3zunnf%C3%813SX3KF7c7fvCcjhyY%3D/,1997,,,,,,
4449013006,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AfD%C3%893Vc312dx1fy9NTvgEBOnIbNEELKttqURzqa6n9eeXbYXRAbqxcwq%C3%814YK%C3%89U1aluaj7BlAHiYPi6BoJphPk58%3D/,2025,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Afg09cwUbhkRinYZXS9J6YvVVuvOq3FUrkNvBmmo0hMNAqT19oAoZk3%C3%81X3thtRNBlEVu6nZ5MHO8upvFpQ4ZRJM%3D/,2002,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AeaxmPuISRGeVcH6cIFqbt%C3%89NKyQnbPrUaH5RI%C3%81QCAzhjW%C3%89w5fz9CiyjQksSfQO%C3%89IihRXW5GxjO9uKL0EPH44wbU%3D/,2002,,,,,,
4449013007,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AWBEq%C3%892RO1NHc7lHvablGpSU2l59aRS01N0PLT%C3%89vl7aviwymjgttkR8xLR7eMbc7Gcwx78j4ZRevZb35YnjVE2A%3D/,2015,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AWMhiZHWgsPhCF7Mv2EJfGRHrTyVcXvH01N3kLw68HBmBXdOhdYkU1GeBI7GGaxfylKnrS09FuQZFdEM%C3%89m4uSQ8%3D/,2015,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYvmuKKI9M2SnDXRn0E0gBlNQ4tm%C3%81FPfrjCU6PBBab0xJ4RIQGSQcweIGQO5tlIYSjGt2cFqZIHzUgrltKfxmFM%3D/,2012,,,,,,
4449013008,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARRL4PQwcpTjfOoP3KcvayB5MxY1ejit6uhvSUrUFkT%C3%81qYtKJ9dQY600KtU5d6sOCoWcbUnJN3gp4yo2phC7LgQ%3D/,1995,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZJog0vqIgIve%C3%81Rw%C3%81tlvR17KQblDhMbEUX1iinn9%C3%81umFpr0eSOhf2rVWlMc%C3%89Wrggk3a5BylvwQLqE4NkIqKj29o%3D/,1995,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AQr1tZ%C3%81IneVe2AOS57J5ZBa4ztOxV40%C3%892vNqzhsDiuQiy2nUuWTZVFUayXG2XDR5NKNSGd6QR5u1FhGQVv657e8%3D/,1995,,,,,,
4449014001,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AcCO1aVvEw2KY65NzWHhnJDGWsDYU99Rfi28h1eIogPGXk9lWvjF4Wrd3CH5LYgdv3au0DldcpXw8vDs4Lj2ah8%3D/,2014,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ATp5m9xWMtoGiVkXHHIH94bV6Ypqox50x7B5fODh5PSA1ElTabeBYZIei3eNyjKKXsiH9Yihh3Rb6wEDZVSW%C3%81i4%3D/,2014,,,,,,,,
4449014002,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Aa0Bw0jtP9H%C3%89HPlIyT2qk3hUaJ2l%C3%81gEgGy4VEs6cf1a2%C3%89eUkYAj3VWcsuyIiY%C3%81y0VcDBrwpmIBkKSqJOxg7oGUE%3D/,1995,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AR5WZ0BtUBSqK8X83IgZsjTe7G%C3%89dlyzx6OQfdbmmHdn024GkLJ5EHd4DnStkiYXthYMXkw0nW%C3%89qwlWTr6CBqpKg%3D/,1994,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZAJM6Rabhlq9chwc5f4HpS50R8yKQ8cz2v53N0Mf2gQOqq8c12ZXIxjPYGK0oZuKib028QaROtpcGRRmjDbn34%3D/,1976,,,,,,
4449014003,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AVn75wifBlvQ%C3%81xAmob%C3%81lwBwJ56Z%C3%81tpm2p8VeJ9twZ8spzFa52aL%C3%89s95dlnAwcCvdo6343JWuVHZDIKa%C3%89i4RtkSA%3D/,2019,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AV19EOZH1o6EoB2OQk3Q0cCX1D51ES7nGJbhbYxXyQuj7OqQuopTOGbWMcboyaIrk0ssTLN5TKmgD11B2ORna7w%3D/,2008,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AeEZjTwPBO7Ej5Tnqx8JvPgdPU8uqlnkq8qK2NIa2RslIRnVf%C3%89aDKgR92KPZBCkJox6KG6hn2JbjNy48DrLOGno%3D/,1998,,,,,,
4449014004,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AdeMIHWkFDi4Nb8Gm4BFi0F%C3%81OAvwlBODuzQvLqVmGGTaAHM%C3%81du6aLrgGBcoFKof6OwJ%C3%81e9VysCkA%C3%89yD2VY%C3%89gTyA%3D/,1999,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXCtJUmJ6pPY18wjWXgNjjkJeDg9ipxFFaDLjx%C3%895LbkpHlF1fSPPQB4rFo9CPJCAf9M4J3KNORhiEOxZX87kDlg%3D/,1999,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AfaCa46%C3%891dti9MyMt7ws509a04UnXalwQEGMwv01TBbnDVQ9uLw8DrQJUsTfyCKFyqNNKpHD0Mk%C3%81QdV40jhFH%C3%89Q%3D/,1999,,,,,,
4449014007,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXfEjAmL7%C3%817ei1x3yY87zRn8isqSVHy3OpFj0g9E4PoeH9%C3%817VK5h1x31Eg3PB77Kzd92ujmemb%C3%810a0xG1qmIOak%3D/,2000,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ATu4ixUY0aYCD1gMytAZcv4lfQqiQS0jaFFP5HA6fl%C3%895SX%C3%81FrodL%C3%890LQq%C3%81rx5H64qOsY0X3y29kpCvFig0Uzi%C3%81A%3D/,2000,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZBRuvhvqYAeWikmOhqXDLprmjWELUr0Bx9iRKWaZX20BtqNrbgvVVVxAC1rV62cRa2ytZN4qRGa4ySFKymhQw0%3D/,1999,,,,,,
